,artist,genre,link
75,Jacob Sartorius,Pop/Rock,https://www.allmusic.com/artist/jacob-sartorius-mn0003514434
76,Yung L.A.,Rap,https://www.allmusic.com/artist/yung-la-mn0001017386
77,Nas,Rap,https://www.allmusic.com/artist/nas-mn0000373634
78,Eric Heatherly,Country,https://www.allmusic.com/artist/eric-heatherly-mn0000156749
79,Urge Overkill,Pop/Rock,https://www.allmusic.com/artist/urge-overkill-mn0000299776
80,Playboi Carti,Rap,https://www.allmusic.com/artist/playboi-carti-mn0003569215
81,My Chemical Romance,Pop/Rock,https://www.allmusic.com/artist/my-chemical-romance-mn0000520545
82,Jesse Powell,R&B,https://www.allmusic.com/artist/jesse-powell-mn0000283015
83,Cherish,R&B,https://www.allmusic.com/artist/cherish-mn0000775494
84,Tori Amos,Pop/Rock,https://www.allmusic.com/artist/tori-amos-mn0000792530
85,Mark Morrison,R&B,https://www.allmusic.com/artist/mark-morrison-mn0000833539
86,ROCKMAFIA,Pop/Rock,https://www.allmusic.com/artist/ragamuffs-mn0004258412
87,Too $hort,Rap,https://www.allmusic.com/artist/too-hort-mn0001052511
88,Yeah Yeah Yeahs,Pop/Rock,https://www.allmusic.com/artist/yeah-yeah-yeahs-mn0000681154
89,Sammie,R&B,https://www.allmusic.com/artist/sammie-mn0000244048
90,Memphis Bleek,Rap,https://www.allmusic.com/artist/memphis-bleek-mn0000416605
91,Wade Hayes,Country,https://www.allmusic.com/artist/wade-hayes-mn0000812241
92,Firehouse,Pop/Rock,https://www.allmusic.com/artist/firehouse-mn0000175049
93,Fruit De La Passion,Pop/Rock,https://www.allmusic.com/artist/fruit-de-la-passion-mn0000741336
94,Akon,R&B,https://www.allmusic.com/artist/akon-mn0000933458
95,General Larry Platt,Pop/Rock,https://www.allmusic.com/artist/larry-platt-mn0002395039
96,Liam Payne,Pop/Rock,https://www.allmusic.com/artist/liam-payne-mn0002854539
97,Neal McCoy,Country,https://www.allmusic.com/artist/neal-mccoy-mn0000383853
98,Nicole,R&B,https://www.allmusic.com/artist/lady-wray-mn0003482142
99,Lil Bow Wow,Rap,https://www.allmusic.com/artist/lil-bow-wow-mn0001873103
100,Tamar Braxton,R&B,https://www.allmusic.com/artist/tamar-braxton-mn0000133177
101,Imagine Dragons,Pop/Rock,https://www.allmusic.com/artist/imagine-dragons-mn0002040645
102,Darius Rucker,Country,https://www.allmusic.com/artist/darius-rucker-mn0000956675
103,Lady Antebellum,Country,https://www.allmusic.com/artist/lady-antebellum-mn0003943921
104,SoMo,Pop/Rock,https://www.allmusic.com/artist/somo-mn0003178979
105,Marc Nelson,R&B,https://www.allmusic.com/artist/marc-nelson-mn0000674669
106,Red Hot Chili Peppers,Pop/Rock,https://www.allmusic.com/artist/red-hot-chili-peppers-mn0000883318
107,The Kenny Wayne Shepherd Band,Pop/Rock,https://www.allmusic.com/artist/kenny-wayne-shepherd-band-mn0002722429
108,J.I The Prince Of N.Y,Rap,https://www.allmusic.com/artist/ji-the-prince-of-ny-mn0003911872
109,Ca$h Out,Rap,https://www.allmusic.com/artist/cah-out-mn0002903465
110,Forest For The Trees,Pop/Rock,https://www.allmusic.com/artist/forest-for-the-trees-mn0000738156
111,Leona Lewis,Pop/Rock,https://www.allmusic.com/artist/leona-lewis-mn0000944700
112,Larray,Rap,https://www.allmusic.com/artist/larray-mn0003890920
113,Frost,Rap,https://www.allmusic.com/artist/frost-mn0000741247
114,Kanye West,Rap,https://www.allmusic.com/artist/kanye-west-mn0000361014
115,TK Kravitz,Rap,https://www.allmusic.com/artist/tk-kravitz-mn0003525456
116,Crossfade,Pop/Rock,https://www.allmusic.com/artist/crossfade-mn0000129551
117,Nicole Renee,R&B,https://www.allmusic.com/artist/nicole-renee-mn0000869305
118,J. Dash,Rap,https://www.allmusic.com/artist/j-dash-mn0002043735
119,Chris Janson,Country,https://www.allmusic.com/artist/chris-janson-mn0001069933
120,matchbox twenty,Pop/Rock,https://www.allmusic.com/artist/matchbox-twenty-mn0000383889
121,Sech,Latin,https://www.allmusic.com/artist/sech-mn0003799650
122,Mr. Probz,Rap,https://www.allmusic.com/artist/mr-probz-mn0000666075
123,Jade,R&B,https://www.allmusic.com/artist/jade-mn0000105047
124,Zendaya,Pop/Rock,https://www.allmusic.com/artist/zendaya-mn0002732005
125,Eslabon Armado,Latin,https://www.allmusic.com/artist/eslabon-armado-mn0003938521
126,Hitman Sammy Sam,Rap,https://www.allmusic.com/artist/hitman-sammy-sam-mn0000682096
127,Ms. Jade,Rap,https://www.allmusic.com/artist/ms-jade-mn0000608514
128,D.R.A.M.,Rap,https://www.allmusic.com/artist/dram-mn0003413994
129,David Archuleta,Pop/Rock,https://www.allmusic.com/artist/david-archuleta-mn0001018022
130,Lil' Romeo,Rap,https://www.allmusic.com/artist/lil-romeo-mn0000234384
131,Money Man,Rap,https://www.allmusic.com/artist/money-man-mn0001462903
132,F.L.Y.,Jazz,https://www.allmusic.com/artist/fly-mn0000195899
133,Bhad Bhabie,Rap,https://www.allmusic.com/artist/bhad-bhabie-mn0003662985
134,Paula Abdul,Pop/Rock,https://www.allmusic.com/artist/paula-abdul-mn0000031380
135,Collective Soul,Pop/Rock,https://www.allmusic.com/artist/collective-soul-mn0000105129
136,Michael W. Smith,Religious,https://www.allmusic.com/artist/michael-w-smith-mn0000466759
137,Romeo Santos,Latin,https://www.allmusic.com/artist/romeo-santos-mn0002367865
138,Tom Petty,Pop/Rock,https://www.allmusic.com/artist/tom-petty-mn0000612716
139,Dionne Farris,R&B,https://www.allmusic.com/artist/dionne-farris-mn0000169228
140,Owl City,Pop/Rock,https://www.allmusic.com/artist/owl-city-mn0001030695
141,Korn,Pop/Rock,https://www.allmusic.com/artist/korn-mn0000112789
142,Chris Daughtry,Pop/Rock,https://www.allmusic.com/artist/chris-daughtry-mn0000984634
143,Bryce Vine,Pop/Rock,https://www.allmusic.com/artist/bryce-vine-mn0003308066
144,Icona Pop,Pop/Rock,https://www.allmusic.com/artist/icona-pop-mn0002576180
145,Andrew Seeley,Stage & Screen,https://www.allmusic.com/artist/andrew-seeley-mn0001911929
146,GoldLink,Rap,https://www.allmusic.com/artist/goldlink-mn0003417871
147,Linkin Park,Pop/Rock,https://www.allmusic.com/artist/linkin-park-mn0000289599
148,Lina Santiago,Pop/Rock,https://www.allmusic.com/artist/lina-santiago-mn0000290644
149,Jonas Brothers,Pop/Rock,https://www.allmusic.com/artist/jonas-brothers-mn0000548397
150,J-Kwon,Rap,https://www.allmusic.com/artist/j-kwon-mn0000089781
151,Groove Theory,R&B,https://www.allmusic.com/artist/groove-theory-mn0000639304
152,Rod Stewart,Pop/Rock,https://www.allmusic.com/artist/rod-stewart-mn0000293896
153,Corona,Pop/Rock,https://www.allmusic.com/artist/corona-mn0000779813
154,Mana,Latin,https://www.allmusic.com/artist/man%C3%A1-mn0000673621
155,Natalie Imbruglia,Pop/Rock,https://www.allmusic.com/artist/natalie-imbruglia-mn0000374126
156,Clipse,Rap,https://www.allmusic.com/artist/clipse-mn0000149605
157,Soko,Pop/Rock,https://www.allmusic.com/artist/soko-mn0001607426
158,DDG,Rap,https://www.allmusic.com/artist/ddg-mn0000545946
159,Rebecca Lynn Howard,Country,https://www.allmusic.com/artist/rebecca-lynn-howard-mn0000347741
160,LSG,R&B,https://www.allmusic.com/artist/lsg-mn0000115554
161,Jill Scott,R&B,https://www.allmusic.com/artist/jill-scott-mn0000845662
162,Luke Combs,Country,https://www.allmusic.com/artist/luke-combs-mn0003462371
163,Daya,Pop/Rock,https://www.allmusic.com/artist/daya-mn0001528100
164,Three 6 Mafia Vs. Tiesto,Rap,https://www.allmusic.com/artist/three-6-mafia-mn0000924367
165,Jay Sean,R&B,https://www.allmusic.com/artist/jay-sean-mn0000380526
166,Adina Howard,R&B,https://www.allmusic.com/artist/adina-howard-mn0000497236
167,Emily Ann Roberts,Country,https://www.allmusic.com/artist/emily-ann-roberts-mn0003456707
168,Lil Wayne,Rap,https://www.allmusic.com/artist/lil-wayne-mn0000272689
169,Flipp Dinero,Rap,https://www.allmusic.com/artist/flipp-dinero-mn0003748030
170,Danity Kane,R&B,https://www.allmusic.com/artist/danity-kane-mn0000633358
171,JC Chasez,Pop/Rock,https://www.allmusic.com/artist/jc-chasez-mn0000098342
172,Sting,Pop/Rock,https://www.allmusic.com/artist/sting-mn0000522377
173,Jet,Pop/Rock,https://www.allmusic.com/artist/jet-mn0000346806
174,Beastie Boys,Rap,https://www.allmusic.com/artist/beastie-boys-mn0000038469
175,Bradley Cooper,Pop/Rock,https://www.allmusic.com/artist/bradley-cooper-mn0002447952
176,Pistol Annies,Country,https://www.allmusic.com/artist/pistol-annies-mn0002744416
177,Sir Mix-A-Lot,Rap,https://www.allmusic.com/artist/sir-mix-a-lot-mn0000011475
178,Joe Budden,Rap,https://www.allmusic.com/artist/joe-budden-mn0000121012
179,Action Bronson,Rap,https://www.allmusic.com/artist/action-bronson-mn0002457866
180,Auli'i Cravalho,Stage & Screen,https://www.allmusic.com/artist/aulii-cravalho-mn0003571733
181,Spice Girls,Pop/Rock,https://www.allmusic.com/artist/spice-girls-mn0000008828
182,John Legend,R&B,https://www.allmusic.com/artist/john-legend-mn0000814387
183,Casey Weston,Country,https://www.allmusic.com/artist/casey-weston-mn0002741932
184,DJ Quik,Rap,https://www.allmusic.com/artist/dj-quik-mn0000658950
185,Fifth Harmony,Pop/Rock,https://www.allmusic.com/artist/fifth-harmony-mn0003145706
186,Jermaine Dupri,Rap,https://www.allmusic.com/artist/jermaine-dupri-mn0000322733
187,Frankee,Electronic,https://www.allmusic.com/artist/frankee-mn0000216364
188,Silk City,Electronic,https://www.allmusic.com/artist/silk-city-mn0000755169
189,Billy Joel,Pop/Rock,https://www.allmusic.com/artist/billy-joel-mn0000085915
190,Matthew Schuler,Pop/Rock,https://www.allmusic.com/artist/matthew-schuler-mn0003199498
191,One Direction,Pop/Rock,https://www.allmusic.com/artist/one-direction-mn0002766592
192,Hugh Laurie,Blues,https://www.allmusic.com/artist/hugh-laurie-mn0002459808
193,Joshua Kadison,Pop/Rock,https://www.allmusic.com/artist/joshua-kadison-mn0000280061
194,Breland,Rap,https://www.allmusic.com/artist/breland-mn0003901306
195,Before Dark,R&B,https://www.allmusic.com/artist/before-dark-mn0000152597
196,Lindsey Stirling,Classical,https://www.allmusic.com/artist/lindsey-stirling-mn0002929806
197,Vanessa Carlton,Pop/Rock,https://www.allmusic.com/artist/vanessa-carlton-mn0000839432
198,Robbie Williams,Pop/Rock,https://www.allmusic.com/artist/robbie-williams-mn0000227697
199,Xzibit,Rap,https://www.allmusic.com/artist/xzibit-mn0000682056
200,WC,Rap,https://www.allmusic.com/artist/wc-mn0000222497
201,Famous Dex,Rap,https://www.allmusic.com/artist/famous-dex-mn0003513013
202,Ritt Momney,Pop/Rock,https://www.allmusic.com/artist/ritt-momney-mn0003992265
203,Cash Money Millionaires,Rap,https://www.allmusic.com/artist/cash-money-millionaires-mn0000800904
204,Shania Twain,Country,https://www.allmusic.com/artist/shania-twain-mn0000161808
205,Game,Rap,https://www.allmusic.com/artist/the-game-mn0000073749
206,Bowling For Soup,Pop/Rock,https://www.allmusic.com/artist/bowling-for-soup-mn0000771905
207,Queen Latifah,Rap,https://www.allmusic.com/artist/queen-latifah-mn0000372229
208,Juicy J,Rap,https://www.allmusic.com/artist/juicy-j-mn0000305641
209,Joel Corry,Electronic,https://www.allmusic.com/artist/joel-corry-mn0003418874
210,The Wilkinsons,Country,https://www.allmusic.com/artist/the-wilkinsons-mn0000574637
211,Barenaked Ladies,Pop/Rock,https://www.allmusic.com/artist/barenaked-ladies-mn0000139089
212,Jo Dee Messina,Country,https://www.allmusic.com/artist/jo-dee-messina-mn0000133057
213,The Flaming Lips,Pop/Rock,https://www.allmusic.com/artist/the-flaming-lips-mn0000065590
214,Adele,Pop/Rock,https://www.allmusic.com/artist/adele-mn0000503460
215,Mack 10,Rap,https://www.allmusic.com/artist/mack-10-mn0000186978
216,Death Cab For Cutie,Pop/Rock,https://www.allmusic.com/artist/death-cab-for-cutie-mn0000812711
217,Mindy McCready,Country,https://www.allmusic.com/artist/mindy-mccready-mn0000495861
218,Canaan Smith,Country,https://www.allmusic.com/artist/canaan-smith-mn0002564904
219,Blac Youngsta,Rap,https://www.allmusic.com/artist/blac-youngsta-mn0003386043
220,Lucy Pearl,R&B,https://www.allmusic.com/artist/lucy-pearl-mn0000256528
221,Ginuwine,R&B,https://www.allmusic.com/artist/ginuwine-mn0000662797
222,Inner Circle,Reggae,https://www.allmusic.com/artist/inner-circle-mn0000078532
223,DJ Khaled,Rap,https://www.allmusic.com/artist/dj-khaled-mn0000660151
224,Post Malone,Rap,https://www.allmusic.com/artist/post-malone-mn0003426458
225,Orianthi,Pop/Rock,https://www.allmusic.com/artist/orianthi-mn0000498648
226,Jimmy Eat World,Pop/Rock,https://www.allmusic.com/artist/jimmy-eat-world-mn0000852688
227,Planet Soul,Electronic,https://www.allmusic.com/artist/george-acosta-mn0000165964
228,Britt Nicole,Religious,https://www.allmusic.com/artist/britt-nicole-mn0000911085
229,Burl Ives,Folk,https://www.allmusic.com/artist/burl-ives-mn0000536754
230,Miley Cyrus,Pop/Rock,https://www.allmusic.com/artist/miley-cyrus-mn0000551762
231,SpotemGottem,Rap,https://www.allmusic.com/artist/spotemgottem-mn0003934750
232,Naughty Boy,Pop/Rock,https://www.allmusic.com/artist/naughty-boy-mn0002327660
233,Celine Dion,Pop/Rock,https://www.allmusic.com/artist/c%C3%A9line-dion-mn0000186185
234,Jamie O'Neal,Country,https://www.allmusic.com/artist/jamie-oneal-mn0000808003
235,YK Osiris,R&B,https://www.allmusic.com/artist/yk-osiris-mn0003757508
236,Kelly Rowland,R&B,https://www.allmusic.com/artist/kelly-rowland-mn0000073682
237,Russell Dickerson,Country,https://www.allmusic.com/artist/russell-dickerson-mn0002948894
238,Nine,Rap,https://www.allmusic.com/artist/nine-mn0000351347
239,Jamie N Commons,Pop/Rock,https://www.allmusic.com/artist/jamie-n-commons-mn0002797214
240,Cham,Pop/Rock,https://www.allmusic.com/artist/cham-mn0000053563
241,Journey,Pop/Rock,https://www.allmusic.com/artist/journey-mn0000291043
242,Lil Suzy,Pop/Rock,https://www.allmusic.com/artist/lil-suzy-mn0000226312
243,Sara Bareilles,Pop/Rock,https://www.allmusic.com/artist/sara-bareilles-mn0000370326
244,Rusted Root,Pop/Rock,https://www.allmusic.com/artist/rusted-root-mn0000221844
245,Olivia Rodrigo,Pop/Rock,https://www.allmusic.com/artist/olivia-rodrigo-mn0003556388
246,Sleepy Brown,R&B,https://www.allmusic.com/artist/sleepy-brown-mn0000022706
247,Steve Azar,Country,https://www.allmusic.com/artist/steve-azar-mn0000031959
248,Jason Aldean,Country,https://www.allmusic.com/artist/jason-aldean-mn0000318882
249,Gary Allan,Country,https://www.allmusic.com/artist/gary-allan-mn0000659299
250,DaBaby,Rap,https://www.allmusic.com/artist/dababy-mn0003768099
251,Kool G Rap,Rap,https://www.allmusic.com/artist/kool-g-rap-mn0000110847
252,LANCO,Country,https://www.allmusic.com/artist/lanco-mn0003486253
253,Nio Garcia,Latin,https://www.allmusic.com/artist/nio-garcia-mn0003736054
254,Tag Team,Rap,https://www.allmusic.com/artist/tag-team-mn0000157314
255,Enur,Electronic,https://www.allmusic.com/artist/k%C3%B6lsch-mn0002563549
256,Imagine Dragons + Khalid,Pop/Rock,https://www.allmusic.com/artist/imagine-dragons-mn0002040645
257,Sophia Grace,Children's,https://www.allmusic.com/artist/sophia-grace-mn0003262748
258,Alana Davis,Pop/Rock,https://www.allmusic.com/artist/alana-davis-mn0000511235
259,Geto Boys,Rap,https://www.allmusic.com/artist/geto-boys-mn0000077283
260,Tiesto,Electronic,https://www.allmusic.com/artist/ti%C3%ABsto-mn0000591459
261,Cam'ron,Rap,https://www.allmusic.com/artist/camron-mn0000224312
262,Andy Williams,Vocal,https://www.allmusic.com/artist/andy-williams-mn0000038466
263,Gorillaz,Pop/Rock,https://www.allmusic.com/artist/gorillaz-mn0000664770
264,Eric Clapton,Pop/Rock,https://www.allmusic.com/artist/eric-clapton-mn0000187478
265,P$C,Rap,https://www.allmusic.com/artist/pc-mn0000500061
266,Craig Wayne Boyd,Country,https://www.allmusic.com/artist/craig-wayne-boyd-mn0002931243
267,Sleepy Hallow,Rap,https://www.allmusic.com/artist/sleepy-hallow-mn0003873918
268,NF,Religious,https://www.allmusic.com/artist/nf-mn0003282827
269,Modjo,Electronic,https://www.allmusic.com/artist/modjo-mn0000480099
270,Farruko,Latin,https://www.allmusic.com/artist/farruko-mn0002444093
271,Public Announcement,R&B,https://www.allmusic.com/artist/public-announcement-mn0000307049
272,BTS,Pop/Rock,https://www.allmusic.com/artist/bts-mn0003136056
273,7 Mile,R&B,https://www.allmusic.com/artist/7-mile-mn0000921195
274,Tela,Rap,https://www.allmusic.com/artist/tela-mn0000747683
275,Ludacris,Rap,https://www.allmusic.com/artist/ludacris-mn0000306258
276,Isaiah Rashad,Rap,https://www.allmusic.com/artist/isaiah-rashad-mn0003223435
277,Aaron Carter,Pop/Rock,https://www.allmusic.com/artist/aaron-carter-mn0000923745
278,Zay Hilfigerrr,Rap,https://www.allmusic.com/artist/zay-hilfigerrr-mn0003555783
279,Bird York,Pop/Rock,https://www.allmusic.com/artist/bird-york-mn0000772710
280,Roddy Ricch,Rap,https://www.allmusic.com/artist/roddy-ricch-mn0003644736
281,FLETCHER,Pop/Rock,https://www.allmusic.com/artist/fletcher-mn0003061304
282,Nardo Wick,Rap,https://www.allmusic.com/artist/nardo-wick-mn0004024640
283,Big Time Rush,Pop/Rock,https://www.allmusic.com/artist/big-time-rush-mn0002534053
284,Aventura,Latin,https://www.allmusic.com/artist/aventura-mn0000054982
285,SoulDecision,Pop/Rock,https://www.allmusic.com/artist/souldecision-mn0000042188
286,Silk Sonic,R&B,https://www.allmusic.com/artist/silk-sonic-mn0004032030
287,Mindless Behavior,R&B,https://www.allmusic.com/artist/mindless-behavior-mn0002540309
288,SHeDAISY,Country,https://www.allmusic.com/artist/shedaisy-mn0000009437
289,Jocelyn Enriquez,Electronic,https://www.allmusic.com/artist/jocelyn-enriquez-mn0000112387
290,Gwyneth Paltrow,Stage & Screen,https://www.allmusic.com/artist/gwyneth-paltrow-mn0000655446
291,Dillon Francis,Electronic,https://www.allmusic.com/artist/dillon-francis-mn0002604392
292,Britney Spears,Pop/Rock,https://www.allmusic.com/artist/britney-spears-mn0000628467
293,Amber Carrington,Country,https://www.allmusic.com/artist/amber-carrington-mn0003132913
294,Enrique Iglesias,Latin,https://www.allmusic.com/artist/enrique-iglesias-mn0000737886
295,THE ANXIETY,Pop/Rock,https://www.allmusic.com/artist/the-anxiety-mn0003915237
296,Gyptian,Reggae,https://www.allmusic.com/artist/gyptian-mn0000279395
297,Mabel,Pop/Rock,https://www.allmusic.com/artist/mabel-mn0003472457
298,Bubba Sparxxx,Rap,https://www.allmusic.com/artist/bubba-sparxxx-mn0000635466
299,Babyface,R&B,https://www.allmusic.com/artist/babyface-mn0000061226
300,PRINCE BE,Pop/Rock,https://www.allmusic.com/artist/prince-be-mn0000302577
301,Lords Of The Underground,Rap,https://www.allmusic.com/artist/lords-of-the-underground-mn0000281376
302,M.I.A.,Electronic,https://www.allmusic.com/artist/mia-mn0000388773
303,Kane Brown,Country,https://www.allmusic.com/artist/kane-brown-mn0003444653
304,Natalie Merchant,Pop/Rock,https://www.allmusic.com/artist/natalie-merchant-mn0000372322
305,Lit,Pop/Rock,https://www.allmusic.com/artist/lit-mn0000837886
306,Soul Asylum,Pop/Rock,https://www.allmusic.com/artist/soul-asylum-mn0000755519
307,Kehlani,R&B,https://www.allmusic.com/artist/kehlani-mn0003226468
308,Kid Rock,Pop/Rock,https://www.allmusic.com/artist/kid-rock-mn0000088180
309,Lil Tecca,Rap,https://www.allmusic.com/artist/lil-tecca-mn0003847683
310,Big Mountain,Reggae,https://www.allmusic.com/artist/big-mountain-mn0000070704
311,Bush,Pop/Rock,https://www.allmusic.com/artist/bush-mn0000639056
312,James Bay,Pop/Rock,https://www.allmusic.com/artist/james-bay-mn0003056815
313,5 Seconds Of Summer,Pop/Rock,https://www.allmusic.com/artist/5-seconds-of-summer-mn0003185359
314,LunchMoney Lewis,Rap,https://www.allmusic.com/artist/lunchmoney-lewis-mn0003160011
315,The Fray,Pop/Rock,https://www.allmusic.com/artist/the-fray-mn0000860561
316,2Pac + Outlawz,Rap,https://www.allmusic.com/artist/2pac-mn0000921895
317,Anna Kendrick,Stage & Screen,https://www.allmusic.com/artist/anna-kendrick-mn0002998485
318,TakeOff,Rap,https://www.allmusic.com/artist/takeoff-mn0003587099
319,Fastball,Pop/Rock,https://www.allmusic.com/artist/fastball-mn0000146490
320,blackbear,Rap,https://www.allmusic.com/artist/blackbear-mn0003007622
321,Melanie Fiona,R&B,https://www.allmusic.com/artist/melanie-fiona-mn0001038956
322,Brand Nubian,Rap,https://www.allmusic.com/artist/brand-nubian-mn0000933772
323,Josh Kelley,Pop/Rock,https://www.allmusic.com/artist/josh-kelley-mn0000277059
324,Kim Sanders,Pop/Rock,https://www.allmusic.com/artist/kim-sanders-mn0000084605
325,Paula Cole,Pop/Rock,https://www.allmusic.com/artist/paula-cole-mn0000026825
326,Howie Day,Pop/Rock,https://www.allmusic.com/artist/howie-day-mn0000233147
327,CeCe Peniston,R&B,https://www.allmusic.com/artist/cece-peniston-mn0000987951
